player_x,block_x,block_y,delta_x,delta_y,action
0.5,0.835,-0.03,-0.335,-0.03,0
0.5,0.835,-0.024,-0.335,-0.024,0
0.5,0.835,-0.018,-0.335,-0.018,0
0.5,0.835,-0.012,-0.335,-0.012,0
0.5,0.835,-0.006,-0.335,-0.006,0
0.5,0.835,0.0,-0.335,0.0,0
0.5,0.835,0.006,-0.335,0.006,0
0.5,0.835,0.012,-0.335,0.012,0
0.5,0.835,0.018,-0.335,0.018,0
0.5,0.835,0.024,-0.335,0.024,0
0.5,0.835,0.03,-0.335,0.03,0
0.5,0.835,0.036,-0.335,0.036,0
0.5,0.835,0.042,-0.335,0.042,0
0.5,0.835,0.048,-0.335,0.048,0
0.5,0.835,0.054,-0.335,0.054,0
0.5,0.835,0.06,-0.335,0.06,0
0.5,0.835,0.066,-0.335,0.066,0
0.5,0.835,0.072,-0.335,0.072,0
0.5,0.835,0.078,-0.335,0.078,0
0.5,0.835,0.084,-0.335,0.084,0
0.5,0.835,0.09,-0.335,0.09,0
0.5,0.835,0.096,-0.335,0.096,0
0.5,0.835,0.102,-0.335,0.102,0
0.5,0.835,0.108,-0.335,0.108,0
0.5,0.835,0.114,-0.335,0.114,0
0.5,0.835,0.12,-0.335,0.12,0
0.5,0.835,0.126,-0.335,0.126,0
0.5,0.835,0.132,-0.335,0.132,0
0.5,0.835,0.138,-0.335,0.138,0
0.5,0.835,0.144,-0.335,0.144,0
0.5,0.835,0.15,-0.335,0.15,0
0.5,0.835,0.156,-0.335,0.156,0
0.5,0.835,0.162,-0.335,0.162,0
0.5,0.835,0.168,-0.335,0.168,0
0.5,0.835,0.174,-0.335,0.174,0
0.5,0.835,0.18,-0.335,0.18,0
0.5,0.835,0.186,-0.335,0.186,0
0.5,0.835,0.192,-0.335,0.192,0
0.5,0.835,0.198,-0.335,0.198,0
0.5,0.835,0.204,-0.335,0.204,0
0.5,0.835,0.21,-0.335,0.21,0
0.5,0.835,0.216,-0.335,0.216,0
0.5,0.835,0.222,-0.335,0.222,0
0.5,0.835,0.228,-0.335,0.228,0
0.5,0.835,0.234,-0.335,0.234,0
0.5,0.835,0.24,-0.335,0.24,0
0.5,0.835,0.246,-0.335,0.246,0
0.5,0.835,0.252,-0.335,0.252,0
